ID,Country code,Year,Country name,Start date,End date,Type,Flood source,Regions affected (v2010),Regions affected (v2021),Area flooded,Fatalities,Persons affected,Losses (nominal value),Losses (original currency),Losses (2020 euro),Cause,Notes,References,Changes
330,DE,1993,Germany,12/20/1993,1/10/1994,River,Mosel; Saar; Rhine; Neckar; Aisch; Nahe,DE115;DE122;DE125;DE254;DE25A;DE25B;DEA1B;DEA22;DEA23;DEA2C;DEB11;DEB14;DEB15;DEB16;DEB17;DEB1A;DEB21;DEB3J;DEC01,DE115;DE122;DE125;DE254;DE25A;DE25B;DEA1B;DEA22;DEA23;DEA2C;DEB11;DEB14;DEB15;DEB17;DEB1A;DEB1C;DEB21;DEB3J;DEC01,,5,100000,1255000000,DEM,891111821,Heavy rainfall and snowmelt,"""Century flood"", highest level on Meuse in Trier in 200 years",CRED (2023); Barredo (2007); Brakenridge (2022); Meuser and Worreschk (1994); Undine (2022); Munich Re (1999); Papagiannaki et al. (2022),Updated
1007,LU,1993,Luxembourg,12/20/1993,12/31/1993,River,Sure; Alzette,LU000,LU000,,0,,350000000,LUF,17932424,Heavy rainfall and snowmelt,,CRED (2023); Barredo (2007); Brakenridge (2022),
1019,NL,1993,Netherlands,12/21/1993,12/31/1993,River,Meuse; Rhine,NL226;NL421;NL422;NL423,NL226;NL421;NL422;NL423,180,1,13000,253800000,NLG,187708360,Heavy rainfall and snowmelt,In Arnhem Rhine reached highest level in 20th century,CRED (2023); Barredo (2007); Brakenridge (2022); Wind et al. (1999); EEA (2015),Updated
1342,ES,1993,Spain,12/24/1993,1/1/1994,River,Ebro; Arga; Aragon,ES120;ES211;ES212;ES213;ES220;ES241;ES243;ES412,ES120;ES211;ES212;ES213;ES220;ES241;ES243;ES412,,3,,,,,Heavy rainfall,,UNDRR (2022); EEA (2015); Arango Selgas (2012),Updated
908,IT,1993,Italy,12/26/1993,12/26/1993,Flash,Calore; Sarno; Volturno,ITF31;ITF32;ITF34;ITF35,ITF31;ITF32;ITF34;ITF35,,1,150,,,,Extreme rainfall,,CNR (2023); Papagiannaki et al. (2022),
1526,UK,1993,United Kingdom,12/26/1993,12/31/1993,River,,UKJ22;UKJ24;UKJ42;UKK30,UKJ22;UKJ27;UKJ45;UKK30,,4,,100000000,GBP,200153887,Heavy rainfall,,CRED (2023); Brakenridge (2022); Environment Agency (2022),
2715,FR,1994,France,1/2/1994,1/11/1994,River,Sèvre Niortaise; Autise; Vendée,FR515;FR533,FRI33;FRG05,170,0,,,,,Heavy rainfall up to 160 mm in 24 h,,Papagiannaki et al. (2022); Meteo France (2022),New
211,FR,1994,France,1/6/1994,1/12/1994,River/Coastal,Rhone; Var; Saone; Durance; Gulf of Lion,FR821;FR823;FR824;FR826,FRL01;FRL03;FRL04;FRL06,65,1,1360,28000000,FRF,5993370,Heavy rainfall up to 300 mm in 36 h and storm surge,CRED (2023): 10 fatalities,"CRED (2023); Meteo France (2022, 2023); Papagiannaki et al. (2022); DIREN P.A.C.A. (1994); AERMC (2011); Département du Var (2015)",Updated
2728,PT,1994,Portugal,1/7/1994,1/7/1994,Flash,,PT161,PT16D,,1,,,,,Extreme rainfall,,Pereira (2017); Papagiannaki et al. (2022),New
1527,UK,1994,United Kingdom,1/7/1994,1/12/1994,River,Lavant,UKJ24,UKJ27,,3,,60000000,GBP,118346689,Heavy rainfall,,CRED (2023); Taylor (1994),
1343,ES,1994,Spain,1/9/1994,1/10/1994,Flash,,ES113,ES113,,1,,,,,Extreme rainfall,Also landslides,EIONET (2016),Corrected
2125,EL,1994,Greece,1/13/1994,1/14/1994,Flash,,EL431,EL431,,0,49,2000000000,GRD,10401714,Extreme rainfall up to 123 mm in 5 h,,ERMIS-F (2020),New
387,EL,1994,Greece,1/31/1994,1/31/1994,Flash,Miheli,EL300,EL302;EL305;EL306,,2,,,,,Extreme rainfall,,Diakakis (2014),
909,IT,1994,Italy,2/18/1994,2/18/1994,Flash,Alcantara; Gaggera,ITG11,ITG11,,1,,,,,Extreme rainfall,,CNR (2023),
2729,PT,1994,Portugal,2/27/1994,2/27/1994,Flash,,PT168,PT16J,,1,,,,,Extreme rainfall,,Pereira (2017); Papagiannaki et al. (2022),New
2365,LT,1994,Lithuania,3/8/1994,4/25/1994,River,Nemunas,LT003,LT023,480,0,,7014000,LTL,7061981,Snowmelt,Second largest flood in 20th century (after 1958 flood),Civiline Sauga (2023); Lithuanian Hydrometeorological Service (2005); EEA (2015),New
2710,CZ,1994,Czechia,4/3/1994,4/3/1994,River,,CZ071;CZ080,CZ071;CZ080,,2,,,,,Heavy rainfall and snowmelt,,Papagiannaki et al. (2022); IKSE (2015),New
331,DE,1994,Germany,4/13/1994,4/18/1994,River,Bode; Saale; Wipper,DEE02;DEE08;DEE09;DEE0A;DEE0B;DEE0C;DEG03;DEG05;DEG0G;DEG0I;DEG0J;DEG0P,DEE02;DEE08;DEE09;DEE0A;DEE0B;DEE0C;DEG03;DEG05;DEG0G;DEG0I;DEG0J;DEG0P,99,2,,300000000,DEM,208732407,Heavy rainfall and snowmelt,,CRED (2023); Munich Re (1999); TMLFUN (2011); EIONET (2016),
1344,ES,1994,Spain,5/13/1994,5/13/1994,Flash,Alagón; Tiétar,ES432,ES432,,1,,,,,Extreme rainfall,,UNDRR (2022); EEA (2015),Updated
2334,CH,1994,Switzerland,5/18/1994,5/19/1994,Flash,Aare; Rhine,CH033;CH040;CH057,CH033;CH040;CH057,,0,,130000000,CHF,132665793,Extreme rainfall up to 100 mm in 12 h,,Rothlisberger (1995); Sturmarchiv Schweiz (2022),New
2269,RS,1994,Serbia,6/22/1994,6/22/1994,Flash,Palana?ki potok,RS110,RS110,,1,,,,,Extreme rainfall,,Petrovic (2021),New
212,FR,1994,France,6/26/1994,6/26/1994,Flash,Siagne,FR823,FRL03,,0,1000,,,,Extreme rainfall up to 85 mm in 1 h,,CRED (2023); AERMC (2011); Meteo France (2022),
332,DE,1994,Germany,6/27/1994,6/29/1994,Flash,,DE134;DE148;DE273;DE300;DE40E,DE134;DE148;DE273;DE300;DE40E,,3,,290000000,DEM,201774660,Extreme rainfall up to 177 mm in 90 min,Probably largely hail damage; also landslides (1 fatality),"Munich Re (1999, 2017); LGRBwissen (2023)",Updated
